scorer,,,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc
bodyparts,,,leg1,leg1,leg2,leg2,leg3,leg3,leg4,leg4,leg5,leg5,leg6,leg6,head,head,tail,tail,prob,prob
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,video3,1.jpg,,,804.609,396.2562,897.2242,545.0295,,,1102.6391,336.3637,,,1001.8913,516.5943,957.03,316.9717,,
labeled-data,video3,2.jpg,,,803.9431,396.6574,896.564,545.4246,,,1102.1006,336.6222,,,1001.2352,516.9961,956.362,317.3708,,
labeled-data,video3,3.jpg,,,803.2883,397.0585,895.9006,545.8279,,,1101.5715,336.8917,,,1000.5705,517.3956,955.7028,317.7722,,
labeled-data,video3,4.jpg,,,802.6127,397.4503,895.2398,546.2154,,,1101.0362,337.153,,,999.9008,517.793,955.038,318.1733,,
labeled-data,video3,5.jpg,,,801.9551,397.8516,894.5706,546.6183,,,1099.7111,337.9587,,,999.2499,518.1987,954.3737,318.5785,,
labeled-data,video3,6.jpg,925.893,217.9304,801.2826,398.2544,893.9125,547.0108,,,1098.3893,338.76,,,998.5872,518.5961,953.7138,318.9745,,
labeled-data,video3,7.jpg,880.4966,210.7622,800.6202,398.645,893.2443,547.4141,899.8078,208.4374,1097.0532,339.5484,,,997.9186,518.9873,953.0427,319.3618,,
labeled-data,video3,8.jpg,902.0,214.7432,800.7418,398.4995,893.5548,547.1024,912.1469,213.6152,1096.6945,339.6048,,,997.9755,518.7449,953.0616,319.322,,
labeled-data,video3,9.jpg,900.4025,198.0211,800.8745,398.3427,893.8556,546.8093,911.7422,196.4959,1096.3203,339.6703,,,998.0301,518.4923,953.0709,319.2714,,
labeled-data,video3,10.jpg,904.3966,198.0243,800.9942,398.1839,894.1694,546.4995,918.1188,212.4224,1095.9572,339.7325,,,998.1072,518.2529,953.0961,319.2328,,
labeled-data,video3,11.jpg,915.5462,228.281,801.1195,398.0324,894.478,546.1873,924.4881,228.3455,1095.5827,339.7968,,,998.1695,518.0,953.103,319.1828,,
labeled-data,video3,12.jpg,878.9058,183.6826,801.2348,397.8831,894.7731,545.8836,916.5297,236.3146,1095.2134,339.859,,,998.2253,517.7655,953.1242,319.1498,,
labeled-data,video3,13.jpg,878.9056,215.55,801.3631,397.7384,895.082,545.5767,893.4384,204.4587,1094.8507,339.9192,,,998.282,517.5119,953.1301,319.0988,,
labeled-data,video3,14.jpg,905.1915,225.8972,801.4877,397.5731,895.3948,545.2731,935.6343,219.5887,1094.4826,339.9759,,,998.3453,517.2706,953.1509,319.0572,,
labeled-data,video3,15.jpg,895.6333,230.6791,801.6057,397.4269,895.6937,544.9606,942.0,218.79,1094.1147,340.0309,,,998.4073,517.0268,953.1617,319.0,,
labeled-data,video3,16.jpg,910.7652,239.4364,801.7217,397.2775,896.0,544.654,930.0609,237.1137,1093.7471,340.0963,,,998.4686,516.7899,953.1874,318.9607,,
labeled-data,video3,17.jpg,903.1934,233.8628,801.8597,397.1173,896.3037,544.3551,930.0629,225.9531,1093.3877,340.1664,,,998.5287,516.5382,953.1937,318.9194,,
labeled-data,video3,18.jpg,884.4863,175.7231,801.9708,396.9601,896.616,544.0444,909.3502,237.1099,1093.0124,340.2272,,,998.5955,516.2903,953.2141,318.8755,,
labeled-data,video3,19.jpg,877.3138,190.0571,802.0956,396.818,896.9237,543.737,921.7067,230.3385,1092.6418,340.2822,,,998.6512,516.0426,953.2204,318.8251,,
labeled-data,video3,20.jpg,900.4151,233.8589,802.2135,396.6533,897.2235,543.432,934.0474,223.5704,1092.2793,340.3424,,,998.7169,515.8016,953.2488,318.7812,,
labeled-data,video3,21.jpg,905.9892,178.9046,802.3479,396.5088,897.5351,543.1295,914.1379,176.5887,1091.9181,340.4034,,,998.7756,515.5541,953.2503,318.7367,,
labeled-data,video3,22.jpg,906.7889,213.1597,802.4673,396.3513,897.8472,542.8146,916.5271,213.2154,1091.5489,340.4671,,,998.8377,515.31,953.2798,318.6957,,
labeled-data,video3,23.jpg,902.8005,234.6594,802.5894,396.198,898.1433,542.5159,929.2615,225.1601,1091.1799,340.5284,,,998.8926,515.0694,953.2893,318.6423,,
labeled-data,video3,24.jpg,898.8156,224.5078,802.7005,396.0452,898.4567,542.2065,935.631,225.1637,1090.8068,340.5891,,,998.9587,514.83,953.3025,318.6027,,
labeled-data,video3,25.jpg,894.8377,214.3423,802.8305,395.8981,898.7503,541.9032,965.1037,219.5873,1090.4409,340.6408,,,999.0267,514.5735,953.3175,318.5578,,
labeled-data,video3,26.jpg,890.8532,204.1986,802.9534,395.7376,899.0699,541.5966,923.6983,214.014,1090.0726,340.7103,,,999.0849,514.3347,953.3375,318.5161,,
labeled-data,video3,27.jpg,886.8775,194.036,803.0749,395.586,899.3712,541.2858,904.584,189.3226,1089.7079,340.7746,,,999.1432,514.0874,953.3489,318.4634,,
labeled-data,video3,28.jpg,905.1962,210.7618,803.1987,395.4379,899.6741,540.9854,906.1751,194.9066,1089.3398,340.8302,,,999.203,513.8415,953.3647,318.4283,,
labeled-data,video3,29.jpg,870.9472,216.3375,803.3241,395.2745,899.9879,540.6746,952.3694,193.3007,1088.9708,340.8938,,,999.2687,513.5941,953.3729,318.3703,,
labeled-data,video3,30.jpg,890.0574,225.8933,803.4455,395.1298,900.2978,540.3691,930.0625,214.8166,1088.6058,340.9523,,,999.3243,513.3557,953.3982,318.3381,,
labeled-data,video3,31.jpg,899.6191,229.8747,803.5641,394.9731,900.5957,540.0692,918.9102,220.3866,1088.2376,341.0182,,,999.3859,513.1032,953.4005,318.2892,,
labeled-data,video3,32.jpg,893.2433,235.4507,803.6898,394.8111,900.9063,539.7573,940.4201,211.6283,1087.862,341.077,,,999.4477,512.8657,953.4247,318.2409,,
labeled-data,video3,33.jpg,890.0512,236.2426,803.819,394.6603,901.2019,539.4496,949.1898,210.0315,1087.507,341.1381,,,999.5165,512.6129,953.4329,318.191,,
labeled-data,video3,34.jpg,895.6361,235.4549,804.0,395.0869,901.1879,539.985,933.2595,214.8182,1088.6209,341.1679,,,999.4398,512.3487,953.4547,318.1515,,
labeled-data,video3,35.jpg,881.2968,231.4621,804.1908,395.5199,901.1626,540.5123,935.6441,213.2107,1089.759,341.1962,,,999.363,512.0776,953.464,318.1099,,
labeled-data,video3,36.jpg,890.8526,189.2626,804.3892,395.9368,901.1376,541.0475,903.788,189.3256,1090.8889,341.2277,,,999.2847,511.7908,953.4888,318.0652,,
labeled-data,video3,37.jpg,908.3798,208.3783,804.2774,395.6783,900.8289,541.5554,915.7381,204.4564,1092.0105,341.2567,,,999.2148,511.5268,953.4988,318.0185,,
labeled-data,video3,38.jpg,892.4422,208.3732,804.1612,395.4179,900.5245,542.0593,915.7369,196.4915,1093.1425,341.2879,,,999.1401,511.2584,953.5174,317.9738,,
labeled-data,video3,39.jpg,900.4095,191.6561,804.0451,395.1539,900.2156,542.5611,905.3746,188.5221,1094.2757,341.3191,,,999.0668,510.9721,953.5232,317.9243,,
labeled-data,video3,40.jpg,913.9484,203.5926,803.9311,394.8931,899.9018,543.079,939.6237,194.8942,1095.4063,341.3452,,,998.9908,510.7086,953.5402,317.8811,,
labeled-data,video3,41.jpg,902.7986,199.6136,803.8114,394.6417,899.5994,543.5888,930.0642,204.4538,1096.532,341.3716,,,998.9115,510.4392,953.552,317.8352,,
labeled-data,video3,42.jpg,902.7971,207.5723,803.7093,394.3843,899.292,544.0964,918.9125,243.4762,1097.6698,341.3974,,,998.8424,510.16,953.5762,317.7966,,
labeled-data,video3,43.jpg,898.026,211.562,803.5895,394.1202,898.9867,544.6064,947.5895,196.4922,1098.7975,341.4218,,,999.282,510.3185,953.5883,317.7415,,
labeled-data,video3,44.jpg,884.4895,174.9232,803.878,394.1083,899.0397,544.5728,910.9598,159.853,1098.719,340.4708,,,999.7126,510.4646,953.6074,317.705,,
labeled-data,video3,45.jpg,900.4061,239.4358,804.155,394.0899,899.0806,544.5437,905.3788,225.1637,1098.6331,339.5284,,,1000.1506,510.6277,953.6267,317.6599,,
labeled-data,video3,46.jpg,920.3155,217.937,804.4436,394.0633,899.14,544.5139,957.1448,206.8454,1098.559,338.5658,,,1000.5918,510.772,953.6341,317.6191,,
labeled-data,video3,47.jpg,900.4191,214.7462,804.7201,394.031,899.1954,544.478,942.8017,205.2517,1098.4782,337.6173,,,1001.0285,510.9352,953.6545,317.5679,,
labeled-data,video3,48.jpg,898.8139,213.9414,805.0,394.0116,899.2442,544.4468,922.0917,202.0636,1098.4073,336.6671,,,1001.467,511.0873,953.6647,317.5264,,
labeled-data,video3,49.jpg,909.1787,241.0278,805.2979,393.9922,899.296,544.4136,996.9517,214.0129,1098.3217,335.7065,,,1001.9046,511.2438,953.6863,317.4704,,
labeled-data,video3,50.jpg,886.87,214.749,803.3833,394.6372,899.411,544.2559,900.5986,206.0448,1098.7714,337.0126,,,1002.3336,511.3924,953.6915,317.4345,,
labeled-data,video3,51.jpg,890.0529,209.1774,801.4833,395.2845,899.5357,544.0803,891.0388,165.4368,1099.23,338.3177,,,1002.7772,511.5521,953.7198,317.3895,,
labeled-data,video3,52.jpg,899.6153,209.9605,799.5726,395.9274,899.6574,543.922,907.7673,207.631,1099.6831,339.6125,,,1002.4315,511.335,953.7238,317.3426,,
labeled-data,video3,53.jpg,891.6529,241.0204,797.6691,396.564,899.7725,543.7579,965.8973,210.8248,1100.1306,340.9219,,,1002.0969,511.1138,953.7492,317.2912,,
labeled-data,video3,54.jpg,847.0529,226.6929,799.9458,395.2193,900.4938,543.9903,1006.5175,208.4375,1093.4108,337.0484,,,1001.763,510.8914,953.7535,317.2512,,
labeled-data,video3,55.jpg,820.7774,232.2688,802.2116,462.3603,929.8784,574.4927,1061.4665,232.3202,1110.5936,369.8025,,,1005.6723,520.2238,953.7722,317.2095,,
labeled-data,video3,56.jpg,846.6529,219.5247,858.7618,459.1707,,,1057.2822,236.9719,,,,,1001.3308,541.4412,953.787,317.1622,,
labeled-data,video3,57.jpg,872.5361,206.7856,858.5669,463.1505,,,1053.1054,241.6177,1128.1168,440.6845,1075.0304,638.1361,1020.0985,549.3815,953.8083,317.11,,
labeled-data,video3,58.jpg,875.7259,207.0477,858.3665,467.1385,,,1048.9293,246.265,1129.7097,439.0939,1066.7326,602.762,1023.3288,545.3745,953.8173,317.0784,,
labeled-data,video3,59.jpg,878.9105,207.3111,860.5587,457.5888,,,1060.6608,262.5805,1127.7198,439.4978,1112.8624,563.4064,1026.5525,541.3718,953.832,317.0284,,
labeled-data,video3,60.jpg,882.099,207.5768,865.9307,505.3685,,,1106.0624,300.8133,,,,,1028.1886,548.4595,953.8417,316.9859,,
labeled-data,video3,61.jpg,881.7855,206.6535,866.7241,504.969,,,1105.2646,303.2031,,,,,1028.7284,547.1443,954.4385,315.3618,,
labeled-data,video3,62.jpg,881.4888,205.7324,867.5259,504.5674,1067.2734,624.8236,1104.473,305.5977,,,1072.1673,618.8091,1029.2648,545.8284,955.0233,313.7458,,
labeled-data,video3,63.jpg,881.1713,204.811,866.6057,501.8099,1074.5274,595.4479,1103.5499,302.8272,,,1095.9401,629.2648,1029.8047,544.5189,955.6191,312.1235,,
labeled-data,video3,64.jpg,881.3268,205.2702,866.7502,502.2663,1107.6933,625.5225,1103.7021,303.2865,,,1076.0502,575.1428,1030.3584,544.4496,956.6908,311.9764,,
labeled-data,video3,65.jpg,881.48,205.7329,866.9099,502.7273,1096.1875,610.8567,1103.8554,303.7452,,,1071.7304,587.9118,1030.9049,544.3704,957.7768,311.831,,
labeled-data,video3,66.jpg,881.6379,206.1985,867.0679,503.1853,1075.3895,576.6127,1104.0136,304.2098,,,1096.4584,594.0505,1031.4556,544.3016,958.8548,311.6941,,
labeled-data,video3,67.jpg,881.7836,206.6595,867.2188,503.6467,,,1104.1606,304.6717,,,,,1032.0123,544.2365,959.9389,311.5496,,
labeled-data,video3,68.jpg,881.9411,207.1101,867.3666,504.1008,,,1104.3146,305.1347,,,,,1032.5665,544.1614,961.0183,311.4054,,
labeled-data,video3,69.jpg,882.0976,207.5711,867.5272,504.5625,,,1104.4776,305.5995,,,1107.5735,610.4899,1033.1166,544.0964,961.0172,311.409,,
labeled-data,video3,70.jpg,882.3386,208.0745,867.702,504.2654,,,1104.6766,305.4338,,,1068.8922,576.7316,1032.649,544.2181,961.1166,311.0137,,
labeled-data,video3,71.jpg,882.5786,208.567,867.8848,503.9511,,,1104.8815,305.2772,,,1078.4816,594.2797,1032.1776,544.3306,961.2266,310.625,,
labeled-data,video3,72.jpg,882.813,209.0521,868.0758,503.6599,1052.4683,665.8851,1105.0887,305.1158,,,1076.1056,603.1222,1031.6917,544.4558,961.3293,310.2384,,
labeled-data,video3,73.jpg,883.0593,209.5565,868.2584,503.3418,1077.2939,622.6613,1105.2903,304.948,,,1105.6211,623.5305,1031.2283,544.5668,961.4326,309.8445,,
labeled-data,video3,74.jpg,883.2962,210.041,868.4482,503.0304,1042.4287,597.5947,1105.4961,304.7899,,,1062.3597,600.2032,1030.7548,544.6869,961.5346,309.4577,,
